Date_only,Entry_Diff,Exit_Diff,Total_Traffic
2022-01-01,695185.0,968946.0,1664131.0
2022-01-02,916998.0,1276090.0,2193088.0
2022-01-03,1756196.0,2105951.0,3862147.0
2022-01-04,1858505.0,2186344.0,4044849.0
2022-01-05,1845596.0,2167118.0,4012714.0
2022-01-06,1930788.0,2259910.0,4190698.0
2022-01-07,1667336.0,2035842.0,3703178.0
2022-01-08,1084040.0,1528158.0,2612198.0
2022-01-09,845768.0,1224760.0,2070528.0
2022-01-10,1874383.0,2218961.0,4093344.0
2022-01-11,1834147.0,2170741.0,4004888.0
2022-01-12,1967500.0,2319289.0,4286789.0
2022-01-13,2014843.0,2386683.0,4401526.0
2022-01-14,1996030.0,2400254.0,4396284.0
2022-01-15,1060708.0,1516976.0,2577684.0
2022-01-16,849564.0,1241927.0,2091491.0
2022-01-17,1212096.0,1583078.0,2795174.0
2022-01-18,2029014.0,2412647.0,4441661.0
2022-01-19,2116108.0,2502450.0,4618558.0
2022-01-20,2025554.0,2419917.0,4445471.0
2022-01-21,2009742.0,2429409.0,4439151.0
2022-01-22,1148150.0,1638713.0,2786863.0
2022-01-23,920396.0,1340705.0,2261101.0
2022-01-24,2027340.0,2391740.0,4419080.0
2022-01-25,2158153.0,2559239.0,4717392.0
2022-01-26,2158923.0,2582013.0,4740936.0
2022-01-27,2149554.0,2574544.0,4724098.0
2022-01-28,2095703.0,2539813.0,4635516.0
2022-01-29,733142.0,1138843.0,1871985.0
2022-01-30,886196.0,1305527.0,2191723.0
2022-01-31,1983061.0,2421449.0,4404510.0
2022-02-01,2006665.0,2527376.0,4534041.0
2022-02-02,2297738.0,2835558.0,5133296.0
2022-02-03,2289710.0,2763554.0,5053264.0
2022-02-04,2115162.0,2587045.0,4702207.0
2022-02-05,1259506.0,1832216.0,3091722.0
2022-02-06,961459.0,1436328.0,2397787.0
2022-02-07,2178952.0,2597581.0,4776533.0
2022-02-08,2408990.0,2860258.0,5269248.0
2022-02-09,2421002.0,2898937.0,5319939.0
2022-02-10,2443513.0,2929701.0,5373214.0
2022-02-11,2330955.0,2840489.0,5171444.0
2022-02-12,1439656.0,2073580.0,3513236.0
2022-02-13,975795.0,1461649.0,2437444.0
2022-02-14,2237891.0,2728509.0,4966400.0
2022-02-15,2371415.0,2877909.0,5249324.0
2022-02-16,2417261.0,2910240.0,5327501.0
2022-02-17,2431535.0,2930639.0,5362174.0
2022-02-18,2293304.0,2819335.0,5112639.0
2022-02-19,1283955.0,1856341.0,3140296.0
2022-02-20,1060001.0,1553625.0,2613626.0
2022-02-21,1472996.0,1908114.0,3381110.0
2022-02-22,2063782.0,2552581.0,4616363.0
2022-02-23,2236410.0,2760053.0,4996463.0
2022-02-24,2213400.0,2736483.0,4949883.0
2022-02-25,1951571.0,2465190.0,4416761.0
2022-02-26,1310937.0,1874290.0,3185227.0
2022-02-27,1037841.0,1522457.0,2560298.0
2022-02-28,2274698.0,2729371.0,5004069.0
2022-03-01,2443583.0,2952617.0,5396200.0
2022-03-02,2493329.0,3024699.0,5518028.0
2022-03-03,2480598.0,3026396.0,5506994.0
2022-03-04,2353594.0,2895703.0,5249297.0
2022-03-05,1390956.0,2005406.0,3396362.0
2022-03-06,1045426.0,1540164.0,2585590.0
2022-03-07,2312361.0,2807856.0,5120217.0
2022-03-08,2498807.0,3052201.0,5551008.0
2022-03-09,2388553.0,2948905.0,5337458.0
2022-03-10,2540711.0,3113397.0,5654108.0
2022-03-11,2433455.0,3024114.0,5457569.0
2022-03-12,1198321.0,1741381.0,2939702.0
2022-03-13,1006917.0,1463409.0,2470326.0
2022-03-14,2294896.0,2778487.0,5073383.0
2022-03-15,2517948.0,3076021.0,5593969.0
2022-03-16,2562170.0,3149915.0,5712085.0
2022-03-17,2427722.0,3015648.0,5443370.0
2022-03-18,2460855.0,3100472.0,5561327.0
2022-03-19,1429327.0,2084940.0,3514267.0
2022-03-20,1190838.0,1795378.0,2986216.0
2022-03-21,2326241.0,2865011.0,5191252.0
2022-03-22,2504396.0,3094997.0,5599393.0
2022-03-23,2509596.0,3129490.0,5639086.0
2022-03-24,2422831.0,3024249.0,5447080.0
2022-03-25,2435399.0,3039382.0,5474781.0
2022-03-26,1426500.0,2063839.0,3490339.0
2022-03-27,1122521.0,1676620.0,2799141.0
2022-03-28,2267724.0,2809739.0,5077463.0
2022-03-29,2481930.0,3068761.0,5550691.0
2022-03-30,2538732.0,3157297.0,5696029.0
2022-03-31,2524329.0,3134797.0,5659126.0
2022-04-01,2433878.0,3074731.0,5508609.0
2022-04-02,1469584.0,2139402.0,3608986.0
2022-04-03,1078651.0,1641507.0,2720158.0
2022-04-04,2371522.0,2917538.0,5289060.0
2022-04-05,2546044.0,3157391.0,5703435.0
2022-04-06,2500011.0,3126186.0,5626197.0
2022-04-07,2502237.0,3142722.0,5644959.0
2022-04-08,2482442.0,3118672.0,5601114.0
2022-04-09,1532351.0,2243772.0,3776123.0
2022-04-10,1229699.0,1840909.0,3070608.0
2022-04-11,2429869.0,3009980.0,5439849.0
2022-04-12,2397306.0,2952337.0,5349643.0
2022-04-13,2478874.0,3056863.0,5535737.0
2022-04-14,2512915.0,3152711.0,5665626.0
2022-04-15,2051489.0,2702370.0,4753859.0
2022-04-16,1443543.0,2093002.0,3536545.0
2022-04-17,1123725.0,1660532.0,2784257.0
2022-04-18,2027897.0,2600420.0,4628317.0
2022-04-19,2187570.0,2824071.0,5011641.0
2022-04-20,2310761.0,2988349.0,5299110.0
2022-04-21,2278329.0,2962199.0,5240528.0
2022-04-22,2181126.0,2845422.0,5026548.0
2022-04-23,1465404.0,2194204.0,3659608.0
2022-04-24,1168095.0,1814179.0,2982274.0
2022-04-25,2280704.0,2857339.0,5138043.0
2022-04-26,2454187.0,3099673.0,5553860.0
2022-04-27,2555413.0,3233353.0,5788766.0
2022-04-28,2539847.0,3218853.0,5758700.0
2022-04-29,2422010.0,3087021.0,5509031.0
2022-04-30,1476658.0,2168247.0,3644905.0
2022-05-01,1211513.0,1829062.0,3040575.0
2022-05-02,2031243.0,2622150.0,4653393.0
2022-05-03,2526380.0,3188828.0,5715208.0
2022-05-04,2529469.0,3196617.0,5726086.0
2022-05-05,2595553.0,3282928.0,5878481.0
2022-05-06,2401864.0,3090094.0,5491958.0
2022-05-07,1266927.0,1902711.0,3169638.0
2022-05-08,1118757.0,1676517.0,2795274.0
2022-05-09,2315848.0,2913937.0,5229785.0
2022-05-10,2519474.0,3187433.0,5706907.0
2022-05-11,2555755.0,3254063.0,5809818.0
2022-05-12,2579596.0,3309315.0,5888911.0
2022-05-13,2404765.0,3108898.0,5513663.0
2022-05-14,1464065.0,2212435.0,3676500.0
2022-05-15,1200703.0,1869246.0,3069949.0
2022-05-16,2291900.0,2965814.0,5257714.0
2022-05-17,2564191.0,3281888.0,5846079.0
2022-05-18,2624348.0,3415246.0,6039594.0
2022-05-19,2531284.0,3317806.0,5849090.0
2022-05-20,2452570.0,3199878.0,5652448.0
2022-05-21,1582235.0,2381878.0,3964113.0
2022-05-22,1261570.0,1984161.0,3245731.0
2022-05-23,2358608.0,2991998.0,5350606.0
2022-05-24,2520468.0,3215816.0,5736284.0
2022-05-25,2543718.0,3258190.0,5801908.0
2022-05-26,2515048.0,3241537.0,5756585.0
2022-05-27,2291882.0,2968377.0,5260259.0
2022-05-28,1312129.0,1937672.0,3249801.0
2022-05-29,1238459.0,1873984.0,3112443.0
2022-05-30,1240000.0,1788218.0,3028218.0
2022-05-31,2338262.0,3050081.0,5388343.0
2022-06-01,2527660.0,3287349.0,5815009.0
2022-06-02,2463315.0,3203159.0,5666474.0
2022-06-03,2401734.0,3114225.0,5515959.0
2022-06-04,1493234.0,2256327.0,3749561.0
2022-06-05,1208484.0,1870790.0,3079274.0
2022-06-06,2300756.0,2971011.0,5271767.0
2022-06-07,2496945.0,3278272.0,5775217.0
2022-06-08,2557219.0,3341215.0,5898434.0
2022-06-09,2388112.0,3209380.0,5597492.0
2022-06-10,2431228.0,3230469.0,5661697.0
2022-06-11,1512391.0,2334877.0,3847268.0
2022-06-12,1172504.0,1882241.0,3054745.0
2022-06-13,2325646.0,3048072.0,5373718.0
2022-06-14,2521774.0,3336256.0,5858030.0
2022-06-15,2544580.0,3393316.0,5937896.0
2022-06-16,2452351.0,3307596.0,5759947.0
2022-06-17,2335560.0,3161543.0,5497103.0
2022-06-18,1508460.0,2330205.0,3838665.0
2022-06-19,1177283.0,1866506.0,3043789.0
2022-06-20,1741600.0,2455105.0,4196705.0
2022-06-21,2408327.0,3242490.0,5650817.0
2022-06-22,2402325.0,3240681.0,5643006.0
2022-06-23,2397061.0,3237353.0,5634414.0
2022-06-24,2306481.0,3154895.0,5461376.0
2022-06-25,1527496.0,2412764.0,3940260.0
2022-06-26,1305610.0,2197133.0,3502743.0
2022-06-27,2141006.0,2944464.0,5085470.0
2022-06-28,2283988.0,3115107.0,5399095.0
2022-06-29,2328924.0,3203266.0,5532190.0
2022-06-30,2256007.0,3103858.0,5359865.0
2022-07-01,2011466.0,2861127.0,4872593.0
2022-07-02,1295716.0,2015936.0,3311652.0
2022-07-03,1136838.0,1786330.0,2923168.0
2022-07-04,1096748.0,1697683.0,2794431.0
2022-07-05,2048179.0,2963235.0,5011414.0
2022-07-06,2165359.0,3020362.0,5185721.0
2022-07-07,2207147.0,3093402.0,5300549.0
2022-07-08,2055509.0,2919754.0,4975263.0
2022-07-09,1368381.0,2159761.0,3528142.0
2022-07-10,1149149.0,1873197.0,3022346.0
2022-07-11,2052424.0,2863081.0,4915505.0
2022-07-12,2232096.0,3141173.0,5373269.0
2022-07-13,2270351.0,3188803.0,5459154.0
2022-07-14,2262218.0,3193176.0,5455394.0
2022-07-15,2100521.0,2984076.0,5084597.0
2022-07-16,1409926.0,2237688.0,3647614.0
2022-07-17,1156489.0,1894321.0,3050810.0
2022-07-18,1953034.0,2740444.0,4693478.0
2022-07-19,2194943.0,3089203.0,5284146.0
2022-07-20,2240338.0,3179886.0,5420224.0
2022-07-21,2176997.0,3109858.0,5286855.0
2022-07-22,2045218.0,2940432.0,4985650.0
2022-07-23,1343707.0,2156503.0,3500210.0
2022-07-24,1096233.0,1809537.0,2905770.0
2022-07-25,1935825.0,2727158.0,4662983.0
2022-07-26,2219465.0,3126030.0,5345495.0
2022-07-27,2267869.0,3215747.0,5483616.0
2022-07-28,2203400.0,3140886.0,5344286.0
2022-07-29,2056284.0,2955980.0,5012264.0
2022-07-30,1388629.0,2221040.0,3609669.0
2022-07-31,1142082.0,1872955.0,3015037.0
2022-08-01,1957071.0,2767032.0,4724103.0
2022-08-02,2175708.0,3085327.0,5261035.0
2022-08-03,2243076.0,3187554.0,5430630.0
2022-08-04,2188251.0,3127429.0,5315680.0
2022-08-05,2012665.0,2906987.0,4919652.0
2022-08-06,1357318.0,2169511.0,3526829.0
2022-08-07,1097803.0,1812916.0,2910719.0
2022-08-08,1955339.0,2785108.0,4740447.0
2022-08-09,2098311.0,3021179.0,5119490.0
2022-08-10,2189009.0,3133441.0,5322450.0
2022-08-11,2155239.0,3122712.0,5277951.0
2022-08-12,2039923.0,2971511.0,5011434.0
2022-08-13,1403791.0,2243000.0,3646791.0
2022-08-14,1154754.0,1900692.0,3055446.0
2022-08-15,1945909.0,2778576.0,4724485.0
2022-08-16,2122460.0,3051822.0,5174282.0
2022-08-17,2142883.0,3093484.0,5236367.0
2022-08-18,2112443.0,3051041.0,5163484.0
2022-08-19,2034181.0,2947874.0,4982055.0
2022-08-20,1361182.0,2203881.0,3565063.0
2022-08-21,1105902.0,1820501.0,2926403.0
2022-08-22,1859855.0,2674740.0,4534595.0
2022-08-23,2059593.0,2981630.0,5041223.0
2022-08-24,2113817.0,3074212.0,5188029.0
2022-08-25,2126756.0,3105971.0,5232727.0
2022-08-26,1897054.0,2809164.0,4706218.0
2022-08-27,1435850.0,2295911.0,3731761.0
2022-08-28,1115761.0,1864933.0,2980694.0
2022-08-29,1966528.0,2833368.0,4799896.0
2022-08-30,2127272.0,3086022.0,5213294.0
2022-08-31,2147821.0,3158036.0,5305857.0
2022-09-01,2129990.0,3131399.0,5261389.0
2022-09-02,1981262.0,2933770.0,4915032.0
2022-09-03,1399732.0,2266462.0,3666194.0
2022-09-04,1184057.0,2004890.0,3188947.0
2022-09-05,1148686.0,1871844.0,3020530.0
2022-09-06,2051143.0,3040661.0,5091804.0
2022-09-07,2303078.0,3381733.0,5684811.0
2022-09-08,2457351.0,3589768.0,6047119.0
2022-09-09,2380930.0,3404550.0,5785480.0
2022-09-10,1489861.0,2501753.0,3991614.0
2022-09-11,1140415.0,1967163.0,3107578.0
2022-09-12,2335107.0,3287261.0,5622368.0
2022-09-13,2495239.0,3542723.0,6037962.0
2022-09-14,2586717.0,3657389.0,6244106.0
2022-09-15,2579016.0,3634378.0,6213394.0
2022-09-16,2422599.0,3452473.0,5875072.0
2022-09-17,1482116.0,2466369.0,3948485.0
2022-09-18,1199283.0,2063882.0,3263165.0
2022-09-19,2347075.0,3278823.0,5625898.0
2022-09-20,2571166.0,3607199.0,6178365.0
2022-09-21,2650906.0,3758363.0,6409269.0
2022-09-22,2547430.0,3638592.0,6186022.0
2022-09-23,2467174.0,3534310.0,6001484.0
2022-09-24,1475773.0,2510808.0,3986581.0
2022-09-25,1157150.0,2042009.0,3199159.0
2022-09-26,1941359.0,2827931.0,4769290.0
2022-09-27,2181975.0,3163619.0,5345594.0
2022-09-28,2548792.0,3615351.0,6164143.0
2022-09-29,2540199.0,3613920.0,6154119.0
2022-09-30,2394151.0,3425021.0,5819172.0
2022-10-01,1298839.0,2237073.0,3535912.0
2022-10-02,1038469.0,1801549.0,2840018.0
2022-10-03,2321635.0,3270171.0,5591806.0
2022-10-04,2337561.0,3349178.0,5686739.0
2022-10-05,2083942.0,3061145.0,5145087.0
2022-10-06,2612436.0,3710225.0,6322661.0
2022-10-07,2453979.0,3535644.0,5989623.0
2022-10-08,1498018.0,2564434.0,4062452.0
2022-10-09,1230146.0,2148730.0,3378876.0
2022-10-10,1731262.0,2618223.0,4349485.0
2022-10-11,2484423.0,3527780.0,6012203.0
2022-10-12,2601426.0,3716141.0,6317567.0
2022-10-13,2508821.0,3616636.0,6125457.0
2022-10-14,2424911.0,3478620.0,5903531.0
2022-10-15,1465641.0,2527118.0,3992759.0
2022-10-16,1147365.0,2035526.0,3182891.0
2022-10-17,2269565.0,3221503.0,5491068.0
2022-10-18,2510434.0,3599725.0,6110159.0
2022-10-19,2596449.0,3736384.0,6332833.0
2022-10-20,2579010.0,3715166.0,6294176.0
2022-10-21,2414918.0,3515212.0,5930130.0
2022-10-22,1473628.0,2541823.0,4015451.0
2022-10-23,1118655.0,1979132.0,3097787.0
2022-10-24,2295356.0,3269780.0,5565136.0
2022-10-25,2524676.0,3603675.0,6128351.0
2022-10-26,2592434.0,3699103.0,6291537.0
2022-10-27,2616456.0,3763514.0,6379970.0
2022-10-28,2445986.0,3552930.0,5998916.0
2022-10-29,1500127.0,2572065.0,4072192.0
2022-10-30,1207172.0,2157913.0,3365085.0
2022-10-31,2297064.0,3294424.0,5591488.0
2022-11-01,2538417.0,3692332.0,6230749.0
2022-11-02,2590218.0,3692427.0,6282645.0
2022-11-03,2577935.0,3696975.0,6274910.0
2022-11-04,2434803.0,3499143.0,5933946.0
2022-11-05,1485360.0,2538656.0,4024016.0
2022-11-06,1318124.0,2391745.0,3709869.0
2022-11-07,2353572.0,3357715.0,5711287.0
2022-11-08,2279154.0,3387154.0,5666308.0
2022-11-09,2538009.0,3670126.0,6208135.0
2022-11-10,2520831.0,3670532.0,6191363.0
2022-11-11,1934577.0,3016684.0,4951261.0
2022-11-12,1422678.0,2481135.0,3903813.0
2022-11-13,1098977.0,1973128.0,3072105.0
2022-11-14,2305759.0,3306274.0,5612033.0
2022-11-15,2483400.0,3603889.0,6087289.0
2022-11-16,2490705.0,3633669.0,6124374.0
2022-11-17,2513735.0,3675224.0,6188959.0
2022-11-18,2347428.0,3476470.0,5823898.0
2022-11-19,1381944.0,2422671.0,3804615.0
2022-11-20,1074729.0,1895127.0,2969856.0
2022-11-21,2251026.0,3253697.0,5504723.0
2022-11-22,2377554.0,3436477.0,5814031.0
2022-11-23,2240136.0,3289690.0,5529826.0
2022-11-24,1000352.0,1620630.0,2620982.0
2022-11-25,1386745.0,2169791.0,3556536.0
2022-11-26,1297327.0,2175894.0,3473221.0
2022-11-27,946955.0,1645425.0,2592380.0
2022-11-28,2209941.0,3163533.0,5373474.0
2022-11-29,2410559.0,3502672.0,5913231.0
2022-11-30,2375314.0,3478107.0,5853421.0
2022-12-01,2497942.0,3670576.0,6168518.0
2022-12-02,2383308.0,3524931.0,5908239.0
2022-12-03,1362282.0,2377210.0,3739492.0
2022-12-04,1207802.0,2116449.0,3324251.0
2022-12-05,2345485.0,3378122.0,5723607.0
2022-12-06,2487153.0,3640945.0,6128098.0
2022-12-07,2530018.0,3717479.0,6247497.0
2022-12-08,2589788.0,3835782.0,6425570.0
2022-12-09,2416202.0,3629346.0,6045548.0
2022-12-10,1529859.0,2719436.0,4249295.0
2022-12-11,1108944.0,2030363.0,3139307.0
2022-12-12,2279837.0,3339739.0,5619576.0
2022-12-13,2469963.0,3684142.0,6154105.0
2022-12-14,2463532.0,3683232.0,6146764.0
2022-12-15,2386579.0,3631838.0,6018417.0
2022-12-16,2184993.0,3344152.0,5529145.0
2022-12-17,1507077.0,2680119.0,4187196.0
2022-12-18,1205746.0,2176803.0,3382549.0
2022-12-19,2239047.0,3307250.0,5546297.0
2022-12-20,2378303.0,3532348.0,5910651.0
2022-12-21,2380385.0,3523923.0,5904308.0
2022-12-22,2160403.0,3193369.0,5353772.0
2022-12-23,1876858.0,2814777.0,4691635.0
2022-12-24,946618.0,1593761.0,2540379.0
2022-12-25,706960.0,1186275.0,1893235.0
2022-12-26,1194353.0,1859773.0,3054126.0
2022-12-27,1847822.0,2761875.0,4609697.0
2022-12-28,1990064.0,2999431.0,4989495.0
2022-12-29,2039546.0,3086128.0,5125674.0
2022-12-30,2014886.0,3152954.0,5167840.0
