Unit,Entry_Diff,Exit_Diff,Total_Traffic
R170,10420777.0,19273795.0,29694572.0
R055,9241319.0,12125596.0,21366915.0
R084,8520417.0,12387693.0,20908110.0
R046,7401223.0,13130864.0,20532087.0
R540,9121498.0,11165409.0,20286907.0
R022,7584859.0,12601038.0,20185897.0
R018,8850732.0,10541991.0,19392723.0
R011,6696316.0,10710060.0,17406376.0
R020,6194853.0,10835710.0,17030563.0
R012,6690984.0,9323411.0,16014395.0
R057,5946903.0,9523032.0,15469935.0
R033,6599352.0,8817063.0,15416415.0
R179,5466698.0,9624714.0,15091412.0
R032,4233888.0,10753402.0,14987290.0
R014,6079729.0,8737945.0,14817674.0
R023,4987258.0,9442363.0,14429621.0
R293,5581039.0,8312237.0,13893276.0
R138,4346522.0,9132575.0,13479097.0
R452,4585084.0,8250129.0,12835213.0
R175,4875756.0,7846519.0,12722275.0
R168,4575637.0,7868980.0,12444617.0
R021,4159404.0,7811766.0,11971170.0
R047,3612955.0,7610984.0,11223939.0
R235,2964724.0,8258436.0,11223160.0
R552,5114678.0,5760429.0,10875107.0
R029,4807915.0,6015449.0,10823364.0
R025,4415364.0,6030913.0,10446277.0
R010,4105288.0,6230375.0,10335663.0
R051,3990713.0,6009072.0,9999785.0
R097,4325399.0,5541348.0,9866747.0
R102,3677760.0,5721543.0,9399303.0
R031,3078462.0,6312804.0,9391266.0
R541,5183029.0,4195038.0,9378067.0
R044,3512883.0,5748935.0,9261818.0
R127,3987440.0,5170972.0,9158412.0
R178,3403897.0,5744060.0,9147957.0
R132,3420639.0,5695286.0,9115925.0
R001,3787812.0,5316196.0,9104008.0
R570,3532649.0,5401412.0,8934061.0
R142,3368973.0,5534593.0,8903566.0
R028,2819768.0,6068071.0,8887839.0
R549,3943713.0,4921880.0,8865593.0
R208,3795814.0,5062611.0,8858425.0
R461,2340514.0,6512071.0,8852585.0
R080,3751270.0,5063825.0,8815095.0
R024,3785237.0,4719966.0,8505203.0
R248,2530790.0,5952961.0,8483751.0
R240,3542002.0,4939040.0,8481042.0
R116,2958420.0,5437034.0,8395454.0
R158,3477645.0,4860509.0,8338154.0
R550,4001053.0,4230033.0,8231086.0
R551,3827110.0,4378208.0,8205318.0
R096,2897985.0,5296005.0,8193990.0
R101,3057754.0,5122039.0,8179793.0
R017,2947578.0,5177938.0,8125516.0
R062,3631665.0,4381103.0,8012768.0
R108,3656596.0,4231725.0,7888321.0
R072,2587464.0,4803397.0,7390861.0
R131,2804973.0,4578703.0,7383676.0
R013,2067023.0,5207106.0,7274129.0
R081,2817638.0,4421432.0,7239070.0
R035,3122470.0,3981149.0,7103619.0
R176,2694425.0,4336090.0,7030515.0
R177,2768185.0,4180246.0,6948431.0
R164,2529956.0,4371651.0,6901607.0
R050,2285746.0,4515634.0,6801380.0
R015,2149331.0,4571649.0,6720980.0
R141,3658483.0,3013547.0,6672030.0
R163,1943970.0,4720544.0,6664514.0
R211,2903692.0,3705611.0,6609303.0
R147,2648458.0,3826985.0,6475443.0
R167,2339743.0,4116740.0,6456483.0
R571,2724866.0,3712714.0,6437580.0
R137,2811617.0,3554712.0,6366329.0
R319,2338998.0,3997455.0,6336453.0
R195,3392413.0,2894212.0,6286625.0
R201,2771722.0,3395320.0,6167042.0
R049,1927879.0,4190612.0,6118491.0
R463,2512018.0,3533614.0,6045632.0
R143,2099984.0,3935730.0,6035714.0
R300,1893831.0,4050755.0,5944586.0
R222,2214755.0,3703260.0,5918015.0
R098,2222133.0,3593136.0,5815269.0
R546,2662459.0,3140664.0,5803123.0
R198,2112841.0,3641335.0,5754176.0
R113,1898538.0,3732702.0,5631240.0
R053,2716613.0,2815635.0,5532248.0
R030,2133892.0,3393479.0,5527371.0
R139,1897556.0,3516347.0,5413903.0
R151,2442871.0,2968080.0,5410951.0
R110,2690082.0,2720494.0,5410576.0
R105,2526321.0,2839758.0,5366079.0
R160,1653648.0,3688382.0,5342030.0
R572,2282107.0,2978470.0,5260577.0
R111,2343268.0,2875095.0,5218363.0
R027,1830825.0,3286670.0,5117495.0
R095,2018576.0,3080994.0,5099570.0
R543,2236704.0,2832292.0,5068996.0
R536,2696545.0,2366499.0,5063044.0
R099,2309756.0,2722868.0,5032624.0
R302,1797951.0,3232966.0,5030917.0
R019,3074081.0,1906600.0,4980681.0
R197,2297368.0,2623618.0,4920986.0
R223,1912357.0,2953380.0,4865737.0
R268,1571943.0,3235034.0,4806977.0
R180,1819396.0,2963451.0,4782847.0
R041,2498793.0,2276267.0,4775060.0
R254,2324109.0,2445718.0,4769827.0
R153,1861436.0,2819045.0,4680481.0
R390,1923770.0,2748876.0,4672646.0
R088,1898063.0,2747457.0,4645520.0
R212,2056999.0,2574694.0,4631693.0
R462,1709946.0,2865920.0,4575866.0
R169,1788187.0,2744415.0,4532602.0
R188,2179487.0,2351897.0,4531384.0
R083,2113209.0,2402045.0,4515254.0
R045,1774292.0,2738183.0,4512475.0
R136,1860603.0,2630607.0,4491210.0
R122,2527136.0,1957806.0,4484942.0
R187,1821864.0,2657263.0,4479127.0
R166,1970128.0,2473539.0,4443667.0
R182,2063835.0,2326387.0,4390222.0
R276,1722916.0,2659834.0,4382750.0
R140,1574567.0,2806463.0,4381030.0
R310,2182542.0,2185485.0,4368027.0
R079,1931465.0,2422590.0,4354055.0
R258,1608156.0,2739298.0,4347454.0
R190,1677414.0,2617890.0,4295304.0
R359,1757454.0,2528398.0,4285852.0
R093,1641486.0,2641439.0,4282925.0
R085,1590472.0,2679419.0,4269891.0
R086,1393181.0,2828568.0,4221749.0
R322,1275129.0,2919523.0,4194652.0
R238,1744538.0,2438100.0,4182638.0
R092,1500747.0,2593953.0,4094700.0
R260,1482404.0,2587301.0,4069705.0
R305,1594685.0,2474130.0,4068815.0
R460,1396280.0,2583069.0,3979349.0
R144,2247065.0,1686617.0,3933682.0
R257,1856400.0,2067589.0,3923989.0
R203,1734312.0,2182946.0,3917258.0
R181,1508242.0,2394785.0,3903027.0
R303,1701665.0,2196367.0,3898032.0
R215,1751266.0,2131566.0,3882832.0
R082,1205841.0,2661821.0,3867662.0
R217,1387476.0,2475408.0,3862884.0
R221,1490269.0,2369507.0,3859776.0
R272,1584338.0,2268614.0,3852952.0
R252,1309231.0,2433094.0,3742325.0
R054,1482075.0,2188039.0,3670114.0
R205,1606682.0,2043221.0,3649903.0
R453,911785.0,2715108.0,3626893.0
R189,1306931.0,2285830.0,3592761.0
R233,1410695.0,2173696.0,3584391.0
R273,1457350.0,2100918.0,3558268.0
R545,1585427.0,1964257.0,3549684.0
R129,1282647.0,2211852.0,3494499.0
R261,1387255.0,2104109.0,3491364.0
R256,1058165.0,2418467.0,3476632.0
R146,1233520.0,2227714.0,3461234.0
R123,1438129.0,2022363.0,3460492.0
R193,1621407.0,1830724.0,3452131.0
R094,1373077.0,2071337.0,3444414.0
R172,1699053.0,1695180.0,3394233.0
R202,2103411.0,1288207.0,3391618.0
R186,1291922.0,2099030.0,3390952.0
R196,1392616.0,1969624.0,3362240.0
R043,1560107.0,1762909.0,3323016.0
R192,1534366.0,1777251.0,3311617.0
R056,1216199.0,2090871.0,3307070.0
R274,1171634.0,2129424.0,3301058.0
R191,1698682.0,1596657.0,3295339.0
R290,1341198.0,1914939.0,3256137.0
R206,1607488.0,1631502.0,3238990.0
R301,1410213.0,1795788.0,3206001.0
R159,1409300.0,1739230.0,3148530.0
R174,1132305.0,1979699.0,3112004.0
R034,1061025.0,2011862.0,3072887.0
R042,624222.0,2428541.0,3052763.0
R259,1237611.0,1799717.0,3037328.0
R204,1489924.0,1527825.0,3017749.0
R149,1254729.0,1744494.0,2999223.0
R121,1890075.0,1100244.0,2990319.0
R126,1484646.0,1497415.0,2982061.0
R171,1051739.0,1920165.0,2971904.0
R103,1227920.0,1734763.0,2962683.0
R378,1238477.0,1723295.0,2961772.0
R374,1261482.0,1685447.0,2946929.0
R194,1627421.0,1316327.0,2943748.0
R281,1133917.0,1774433.0,2908350.0
R243,1233317.0,1673593.0,2906910.0
R112,1469197.0,1436956.0,2906153.0
R244,1479037.0,1424779.0,2903816.0
R288,1448963.0,1446179.0,2895142.0
R162,1045271.0,1814700.0,2859971.0
R251,1179896.0,1674085.0,2853981.0
R544,1416112.0,1407403.0,2823515.0
R388,1175582.0,1646794.0,2822376.0
R239,1146115.0,1653957.0,2800072.0
R364,965051.0,1832886.0,2797937.0
R115,1200878.0,1594393.0,2795271.0
R291,1180419.0,1594224.0,2774643.0
R324,1405770.0,1334599.0,2740369.0
R542,1346583.0,1393730.0,2740313.0
R323,1005023.0,1665919.0,2670942.0
R267,1076445.0,1591621.0,2668066.0
R154,1154445.0,1508591.0,2663036.0
R328,914415.0,1710241.0,2624656.0
R249,990583.0,1631708.0,2622291.0
R445,1167333.0,1440371.0,2607704.0
R063,982902.0,1615745.0,2598647.0
R114,1109363.0,1462751.0,2572114.0
R347,1002060.0,1562426.0,2564486.0
R250,896060.0,1657818.0,2553878.0
R220,1294472.0,1241883.0,2536355.0
R157,1149533.0,1379828.0,2529361.0
R161,1407039.0,1113943.0,2520982.0
R106,947634.0,1561084.0,2508718.0
R091,875271.0,1603658.0,2478929.0
R120,999946.0,1473443.0,2473389.0
R356,1131821.0,1304168.0,2435989.0
R346,829153.0,1594247.0,2423400.0
R327,920643.0,1439982.0,2360625.0
R446,905573.0,1440627.0,2346200.0
R232,1184374.0,1157963.0,2342337.0
R377,1066653.0,1270310.0,2336963.0
R330,713630.0,1602909.0,2316539.0
R200,1440785.0,854693.0,2295478.0
R207,1455808.0,836791.0,2292599.0
R368,946254.0,1337408.0,2283662.0
R269,955124.0,1310569.0,2265693.0
R036,1156188.0,1095226.0,2251414.0
R266,947350.0,1302286.0,2249636.0
R135,1092130.0,1142395.0,2234525.0
R119,1645577.0,583421.0,2228998.0
R218,1594512.0,633761.0,2228273.0
R155,931347.0,1296792.0,2228139.0
R298,969471.0,1256812.0,2226283.0
R547,979891.0,1241341.0,2221232.0
R342,716999.0,1486654.0,2203653.0
R395,922950.0,1275654.0,2198604.0
R404,810288.0,1385972.0,2196260.0
R133,1292029.0,901549.0,2193578.0
R107,842764.0,1347577.0,2190341.0
R361,1155064.0,1024329.0,2179393.0
R213,1136685.0,1042475.0,2179160.0
R394,949090.0,1220517.0,2169607.0
R069,839538.0,1328882.0,2168420.0
R173,1209642.0,954750.0,2164392.0
R199,759615.0,1390638.0,2150253.0
R231,874498.0,1275284.0,2149782.0
R333,909196.0,1223877.0,2133073.0
R318,823278.0,1278614.0,2101892.0
R297,676509.0,1424255.0,2100764.0
R386,732621.0,1349685.0,2082306.0
R321,873864.0,1175390.0,2049254.0
R548,962239.0,1064900.0,2027139.0
R183,885830.0,1129711.0,2015541.0
R118,878634.0,1119892.0,1998526.0
R226,717989.0,1276456.0,1994445.0
R064,766884.0,1216171.0,1983055.0
R294,760327.0,1222099.0,1982426.0
R145,756275.0,1218599.0,1974874.0
R391,1064363.0,903915.0,1968278.0
R429,973590.0,982875.0,1956465.0
R437,624360.0,1328185.0,1952545.0
R282,1293993.0,657496.0,1951489.0
R219,1142531.0,805700.0,1948231.0
R287,645822.0,1299777.0,1945599.0
R246,755561.0,1190007.0,1945568.0
R016,626833.0,1315144.0,1941977.0
R284,724819.0,1211361.0,1936180.0
R449,753585.0,1173361.0,1926946.0
R382,804193.0,1118990.0,1923183.0
R236,1046008.0,870451.0,1916459.0
R109,1432033.0,476700.0,1908733.0
R117,1142784.0,765858.0,1908642.0
R387,883299.0,1020768.0,1904067.0
R270,584205.0,1305914.0,1890119.0
R398,889843.0,994282.0,1884125.0
R065,694258.0,1183794.0,1878052.0
R148,823382.0,1050813.0,1874195.0
R265,786389.0,1076392.0,1862781.0
R156,970755.0,890081.0,1860836.0
R048,950166.0,895826.0,1845992.0
R304,877237.0,958919.0,1836156.0
R334,933852.0,873099.0,1806951.0
R104,891106.0,915081.0,1806187.0
R392,885985.0,909241.0,1795226.0
R309,850174.0,942658.0,1792832.0
R037,1070103.0,720972.0,1791075.0
R275,955166.0,832389.0,1787555.0
R408,1159669.0,611587.0,1771256.0
R409,675478.0,1094529.0,1770007.0
R134,752303.0,994140.0,1746443.0
R443,893296.0,849275.0,1742571.0
R285,660613.0,1072800.0,1733413.0
R150,1105363.0,627884.0,1733247.0
R040,1395901.0,318919.0,1714820.0
R060,551373.0,1162745.0,1714118.0
R320,575773.0,1138248.0,1714021.0
R245,647260.0,1037509.0,1684769.0
R308,789242.0,882135.0,1671377.0
R393,685914.0,929704.0,1615618.0
R332,707680.0,907583.0,1615263.0
R209,781795.0,828160.0,1609955.0
R228,860894.0,747756.0,1608650.0
R385,1160895.0,445747.0,1606642.0
R295,568473.0,1036563.0,1605036.0
R406,1011731.0,589244.0,1600975.0
R124,630345.0,958489.0,1588834.0
R431,566734.0,1020550.0,1587284.0
R299,673315.0,913285.0,1586600.0
R375,578912.0,996678.0,1575590.0
R241,734150.0,816549.0,1550699.0
R059,874782.0,675118.0,1549900.0
R216,765143.0,753056.0,1518199.0
R413,528732.0,969977.0,1498709.0
R052,1035148.0,462368.0,1497516.0
R380,802972.0,692260.0,1495232.0
R229,871812.0,622685.0,1494497.0
R353,584709.0,903949.0,1488658.0
R286,700123.0,774299.0,1474422.0
R439,712826.0,757668.0,1470494.0
R371,1021867.0,448611.0,1470478.0
R279,898447.0,565464.0,1463911.0
R296,573668.0,865551.0,1439219.0
R128,667871.0,767590.0,1435461.0
R061,530753.0,902741.0,1433494.0
R438,706948.0,726336.0,1433284.0
R070,1419742.0,285.0,1420027.0
R535,580351.0,830956.0,1411307.0
R396,671638.0,737378.0,1409016.0
R314,599784.0,808656.0,1408440.0
R307,559349.0,846744.0,1406093.0
R428,558122.0,841648.0,1399770.0
R277,496323.0,893011.0,1389334.0
R381,693208.0,689080.0,1382288.0
R311,425824.0,936334.0,1362158.0
R184,860153.0,490444.0,1350597.0
R372,991188.0,345083.0,1336271.0
R343,633772.0,697806.0,1331578.0
R450,558109.0,773259.0,1331368.0
R369,683639.0,644695.0,1328334.0
R451,1050198.0,277547.0,1327745.0
R403,595999.0,728105.0,1324104.0
R262,509866.0,799432.0,1309298.0
R234,575902.0,721403.0,1297305.0
R362,731219.0,560224.0,1291443.0
R407,482123.0,806255.0,1288378.0
R253,671405.0,592080.0,1263485.0
R152,694583.0,564361.0,1258944.0
R317,585867.0,672675.0,1258542.0
R401,435536.0,816474.0,1252010.0
R345,482467.0,758898.0,1241365.0
R255,746470.0,491879.0,1238349.0
R456,314831.0,913876.0,1228707.0
R370,814621.0,412766.0,1227387.0
R067,674582.0,544872.0,1219454.0
R058,455228.0,758217.0,1213445.0
R316,469839.0,740443.0,1210282.0
R225,642339.0,566559.0,1208898.0
R376,423619.0,784057.0,1207676.0
R090,411547.0,790951.0,1202498.0
R006,674232.0,522970.0,1197202.0
R468,1140108.0,53861.0,1193969.0
R436,407155.0,782744.0,1189899.0
R100,493022.0,689414.0,1182436.0
R367,718716.0,462364.0,1181080.0
R087,646701.0,533637.0,1180338.0
R349,414918.0,762849.0,1177767.0
R214,733498.0,442859.0,1176357.0
R224,482177.0,692816.0,1174993.0
R289,760983.0,408480.0,1169463.0
R379,627551.0,533745.0,1161296.0
R130,494199.0,660424.0,1154623.0
R435,376183.0,775340.0,1151523.0
R125,662869.0,481915.0,1144784.0
R383,625810.0,517628.0,1143438.0
R242,525409.0,597875.0,1123284.0
R434,405786.0,708562.0,1114348.0
R066,366756.0,745198.0,1111954.0
R340,507924.0,599181.0,1107105.0
R004,534482.0,572082.0,1106564.0
R397,464163.0,627665.0,1091828.0
R373,799110.0,288977.0,1088087.0
R263,435118.0,641983.0,1077101.0
R447,455790.0,618474.0,1074264.0
R039,786599.0,287278.0,1073877.0
R283,499786.0,567127.0,1066913.0
R068,396569.0,665597.0,1062166.0
R350,423521.0,634815.0,1058336.0
R420,579278.0,478985.0,1058263.0
R441,405390.0,647134.0,1052524.0
R469,1018203.0,33621.0,1051824.0
R315,531441.0,515817.0,1047258.0
R339,500824.0,535756.0,1036580.0
R405,749379.0,269664.0,1019043.0
R402,364639.0,654217.0,1018856.0
R227,574401.0,427227.0,1001628.0
R399,727865.0,241304.0,969169.0
R089,412890.0,554212.0,967102.0
R312,414744.0,548894.0,963638.0
R005,550793.0,404052.0,954845.0
R366,529923.0,415092.0,945015.0
R430,412252.0,524660.0,936912.0
R185,854521.0,73211.0,927732.0
R326,371981.0,550518.0,922499.0
R230,630056.0,272486.0,902542.0
R210,668431.0,232270.0,900701.0
R264,510571.0,382813.0,893384.0
R442,441334.0,450740.0,892074.0
R237,384743.0,497279.0,882022.0
R444,513275.0,365041.0,878316.0
R331,370889.0,499516.0,870405.0
R365,441200.0,416431.0,857631.0
R329,322561.0,526892.0,849453.0
R325,302250.0,536471.0,838721.0
R352,227424.0,610519.0,837943.0
R433,329612.0,479584.0,809196.0
R363,453208.0,347547.0,800755.0
R271,384495.0,401674.0,786169.0
R335,331736.0,422424.0,754160.0
R412,214661.0,530753.0,745414.0
R306,626810.0,113031.0,739841.0
R007,402580.0,327460.0,730040.0
R432,386969.0,339392.0,726361.0
R358,262570.0,462074.0,724644.0
R440,390948.0,332582.0,723530.0
R313,330297.0,393111.0,723408.0
R427,293841.0,428374.0,722215.0
R400,477536.0,217093.0,694629.0
R360,223099.0,466872.0,689971.0
R278,412226.0,269498.0,681724.0
R009,365962.0,307850.0,673812.0
R384,413151.0,259085.0,672236.0
R008,346765.0,319645.0,666410.0
R455,125216.0,528693.0,653909.0
R336,290835.0,358118.0,648953.0
R389,365739.0,274482.0,640221.0
R423,405519.0,223701.0,629220.0
R292,443719.0,180009.0,623728.0
R411,227508.0,391086.0,618594.0
R341,437901.0,147798.0,585699.0
R424,352248.0,231395.0,583643.0
R448,210181.0,368054.0,578235.0
R344,464608.0,104788.0,569396.0
R247,338353.0,219531.0,557884.0
R355,376883.0,179512.0,556395.0
R414,430175.0,115658.0,545833.0
R357,118524.0,370661.0,489185.0
R038,315818.0,158613.0,474431.0
R348,260112.0,191474.0,451586.0
R425,264083.0,170396.0,434479.0
R003,214719.0,214460.0,429179.0
R421,295812.0,133045.0,428857.0
R338,149528.0,248042.0,397570.0
R354,243367.0,152165.0,395532.0
R280,294724.0,93719.0,388443.0
R426,234264.0,143927.0,378191.0
R419,126679.0,215332.0,342011.0
R416,121257.0,208200.0,329457.0
R337,112020.0,205975.0,317995.0
R422,196917.0,102344.0,299261.0
R464,177896.0,35259.0,213155.0
R417,73590.0,132492.0,206082.0
R418,40179.0,78151.0,118330.0
R165,111067.0,6.0,111073.0
R415,40071.0,20295.0,60366.0
R459,428.0,555.0,983.0
